ZIP,SOLDPRICE,SQFT,LOTSIZE,BEDS,BATHS,AGE,DOM
2125,457000.0,1416,,2,2.0,24,27
2145,490000.0,2260,,2,2.5,14,19
1844,200000.0,1123,,2,2.0,48,9
2130,480000.0,1188,,2,1.5,36,62
2127,499000.0,1001,,2,2.0,16,37
1904,164900.0,709,,1,1.0,118,31
2113,535000.0,1054,,2,1.0,32,24
2130,590000.0,1740,15000.0,3,2.5,39,68
1545,310000.0,1585,,2,2.5,11,22
2110,11995000.0,962,,2,1.0,48,7
1915,307000.0,965,,1,1.0,37,37
2421,390000.0,1154,,2,1.0,78,46
2135,300000.0,992,,2,1.0,93,35
2127,628000.0,1885,,3,2.5,16,11
2127,695500.0,1600,,2,1.5,110,17
2140,710000.0,1428,,3,2.0,138,27
2190,226500.0,857,,3,1.0,88,32
2472,730000.0,904,,2,2.0,88,9
2138,840000.0,836,,1,1.0,12,28
2132,313500.0,1056,,2,1.0,130,32
1702,110000.0,2650,,3,2.5,4,7
1545,289000.0,1185,,2,1.5,32,313
2139,600000.0,990,0.0,2,1.5,45,6
2446,650000.0,1214,,2,1.0,94,40
1760,184188.0,1802,,2,2.0,38,31
1940,1325000.0,1612,,2,2.5,32,31
2127,1085000.0,868,999.0,2,1.0,110,18
1850,134900.0,1058,,3,1.0,118,35
2150,500000.0,1232,,3,2.5,48,14
2116,1255000.0,1210,,2,1.5,3,15
2045,280000.0,1261,100560.0,2,2.0,12,64
1432,188000.0,1255,32199.0,2,2.0,2,4
1867,385195.0,1155,,2,2.0,36,24
2118,2350000.0,1971,,4,2.5,37,30
1721,255000.0,3056,5306.0,3,2.5,118,29
1516,217000.0,1145,,2,1.5,33,81
2150,187000.0,1456,,3,3.0,36,21
1854,125000.0,1986,,3,2.5,128,52
2118,602000.0,1328,,3,2.5,36,29
2130,770000.0,1755,1755.0,2,2.5,86,28
1810,369900.0,1088,,3,1.0,98,22
2139,1175000.0,3304,,4,3.5,228,143
1952,145000.0,1575,,2,1.5,33,52
1420,182000.0,1250,,2,1.5,132,52
2655,139900.0,1054,,2,1.0,33,27
2135,342000.0,670,,1,1.0,45,59
2125,700000.0,2525,,3,2.5,93,7
2131,469000.0,2158,,3,2.0,89,4
2144,835000.0,1190,,2,1.0,118,7
2115,1925000.0,2255,,5,1.5,138,37
1852,359900.0,1177,,3,1.0,113,20
1602,218000.0,1752,21320.0,3,2.5,118,19
2129,2900000.0,1688,,2,2.5,4,17
2762,190000.0,640,,1,1.0,48,36
2333,202500.0,758,,1,1.0,12,273
2360,75590.0,930,,2,1.0,48,66
2130,851000.0,1561,,2,2.5,33,49
2458,348000.0,1460,,2,3.5,30,24
2125,570000.0,1440,,2,2.0,23,69
1930,754305.0,1100,,2,1.0,118,69
1832,175000.0,1200,0.0,2,1.5,34,56
1746,486760.0,504,0.03,1,1.0,132,9
2127,975000.0,850,,2,1.0,118,24
